date,temp_max,temp_min,humid_max,humid_min,precip,wind_speed,wind_dir,solar_rad
01/01/2023,79,48,98,36,0,2.7,158,256
01/02/2023,74,58,95,74,0,4.8,141,100
01/03/2023,73,64,95,76,2.27,5.1,173,103
01/04/2023,66,45,95,38,0.01,5.4,276,295
01/05/2023,60,37,96,33,0,4.4,280,302
01/06/2023,61,33,94,30,0,1.5,263,303
01/07/2023,,,,,,,,
01/08/2023,61,43,97,88,0.53,4,300,68
01/09/2023,55,35,96,43,0,2.2,352,270
01/10/2023,67,33,97,42,0.01,2.6,177,296
01/11/2023,76,48,97,58,0,4.8,170,173
01/12/2023,69,43,90,43,0.63,11.3,268,214
01/13/2023,43,36,79,64,0,9.8,337,79
01/14/2023,48,30,90,44,0,4,352,312
01/15/2023,58,27,94,32,0,2.6,128,321
01/16/2023,65,41,83,57,0,5.8,164,86
01/17/2023,74,52,96,57,0.15,2.9,229,185
01/18/2023,73,50,98,72,0.26,5.3,157,132
01/19/2023,66,41,93,30,0.23,7.5,269,324
01/20/2023,56,36,92,43,0,3.7,317,305
01/21/2023,54,38,94,51,0.36,3.7,116,166
01/22/2023,50,39,96,78,0.1,3.8,297,69
01/23/2023,52,33,95,53,0,3.3,340,284
01/24/2023,52,30,96,55,1.3,4,117,206
01/25/2023,56,40,95,70,0.05,9.7,275,120
01/26/2023,49,30,93,51,0,6.5,291,311
01/27/2023,57,28,94,29,0,4,228,352
01/28/2023,,,,,,,,
01/29/2023,55,47,96,53,0.62,3.7,129,39
01/30/2023,61,50,98,82,0.01,2.9,16,110
01/31/2023,50,35,95,90,0.51,5.6,354,63
02/01/2023,41,34,95,83,0.25,4.6,8,87
02/02/2023,40,35,95,92,1.48,4.5,7,25
02/03/2023,47,31,93,40,0,5.1,359,370
02/04/2023,53,26,94,29,0,2,135,298
02/05/2023,64,31,94,50,0,3.1,254,348
02/06/2023,66,35,96,46,0,2.8,133,370
02/07/2023,73,41,95,56,0.06,3.6,144,287
02/08/2023,73,57,98,77,0.62,5.4,142,139
02/09/2023,65,43,94,52,0.6,6.5,270,383
02/10/2023,58,41,94,53,0,4.8,21,319
02/11/2023,47,40,92,73,2.01,7.6,13,67
02/12/2023,59,37,91,27,0.27,6.9,316,407
02/13/2023,69,32,94,35,0,3,263,390
02/14/2023,73,41,95,34,0.28,6.6,166,318
02/15/2023,71,62,95,81,0.02,5.3,162,142
02/16/2023,75,47,94,75,1.35,7.4,199,116
02/17/2023,48,35,89,44,0,9.6,344,260
02/18/2023,57,27,92,25,0,2.8,127,432
02/19/2023,67,39,88,34,0,3.6,196,394
02/20/2023,75,56,88,56,0,6.9,232,277
02/21/2023,,,,,,,,
02/22/2023,,,,,,,,
02/23/2023,86,68,86,45,0,4.4,211,347
02/24/2023,68,53,87,51,0.04,4.2,43,87
02/25/2023,70,53,92,69,0,3.2,333,175
02/26/2023,77,54,96,60,0,1.9,272,245
02/27/2023,81,52,92,43,0,7.8,230,237
02/28/2023,81,50,92,25,0,2.1,245,419
03/01/2023,82,56,84,57,0,5.7,210,203
03/02/2023,73,61,93,75,0.63,6,137,66
03/03/2023,75,56,96,51,0.22,10.9,241,342
03/04/2023,69,48,95,47,0,2.8,326,382
03/05/2023,74,43,96,36,0,1.8,137,473
03/06/2023,82,47,94,40,0,3.2,207,406
03/07/2023,82,57,97,45,0,2.7,33,403
03/08/2023,67,53,87,40,0.2,2.9,79,171
03/09/2023,67,53,93,71,0.08,2.8,117,196
03/10/2023,63,45,95,52,0.36,5,333,332
03/11/2023,60,38,95,56,0,3.7,147,230
03/12/2023,,,,,,,,
03/13/2023,56,38,90,39,0,6.5,346,487
03/14/2023,51,33,87,39,0,4.4,8,505
03/15/2023,60,29,93,20,0,2.2,110,508
03/16/2023,74,38,88,35,0.01,5.6,158,425
03/17/2023,61,38,94,65,0.94,6.3,301,122
03/18/2023,53,36,87,37,0,6.8,333,398
03/19/2023,43,30,80,37,0,6.3,339,524
03/20/2023,54,24,89,23,0,1.9,186,511
03/21/2023,67,32,89,29,0,4.9,144,419
03/22/2023,79,53,89,51,0.01,3.7,166,248
03/23/2023,85,55,92,42,0,5.2,196,497
03/24/2023,84,65,95,48,0.7,8.5,191,380
03/25/2023,81,56,96,26,0.16,4.8,256,518
03/26/2023,83,54,93,36,0.3,2.7,139,457
03/27/2023,76,55,94,41,0,4,352,538
03/28/2023,72,50,80,33,0,6.3,359,478
03/29/2023,68,39,90,24,0,2.1,72,470
03/30/2023,75,41,93,22,0,3.9,141,528
03/31/2023,80,60,87,48,0,7.2,182,245
04/01/2023,80,53,96,15,0.49,7.9,285,548
04/02/2023,73,42,95,33,0.03,3.2,146,488
04/03/2023,80,54,95,69,0.75,3.6,140,364
04/04/2023,89,65,96,43,0,6.3,168,487
04/05/2023,88,63,95,47,0.15,5.2,167,338
04/06/2023,73,53,94,71,0.06,4.7,27,162
04/07/2023,55,51,94,91,0.7,4.8,26,98
04/08/2023,58,51,96,86,1.4,4.2,61,111
04/09/2023,70,50,94,54,0,3.8,96,399
04/10/2023,71,48,96,39,0,2.9,118,567
04/11/2023,75,43,95,21,0,2.3,121,580
04/12/2023,76,43,96,30,0,1.5,113,531
04/13/2023,66,56,92,69,0.19,6.8,114,145
04/14/2023,75,55,96,57,0.21,4,223,321
04/15/2023,80,54,98,47,0,3.4,189,368
04/16/2023,,,,,,8.1,302,568
04/17/2023,,,,,,4.3,305,618
04/18/2023,81,43,94,20,0,2.3,201,527
04/19/2023,84,49,91,24,0,3.8,172,526
04/20/2023,85,51,91,23,0,4.8,172,523
04/21/2023,71,54,93,64,0.53,4.7,186,178
04/22/2023,73,48,96,28,0,3.5,321,595
04/23/2023,60,48,75,43,0,5.6,16,423
04/24/2023,68,46,85,30,0,4.1,40,572
04/25/2023,71,43,87,31,0,2.2,75,524
04/26/2023,64,52,94,60,1.26,3.9,49,195
04/27/2023,75,58,96,68,0.56,3.7,125,238
04/28/2023,73,55,97,57,0,5.3,301,430
04/29/2023,75,52,96,61,0.2,4.1,132,375
04/30/2023,70,50,93,34,0,7.8,306,612
05/01/2023,70,46,92,27,0,6.3,306,624
05/02/2023,75,44,94,23,0,6.3,298,622
05/03/2023,75,44,92,22,0,3.7,319,629
05/04/2023,78,46,92,27,0,1.6,116,576
05/05/2023,69,59,89,63,0.01,3.8,119,154
05/06/2023,83,62,91,64,0,4.5,146,330
05/07/2023,87,61,95,53,0.14,5.2,202,546
05/08/2023,85,67,95,59,0,4.4,205,410
05/09/2023,89,66,96,49,0.81,4.4,263,519
05/10/2023,83,65,95,61,0.11,2.7,120,293
05/11/2023,86,66,94,51,0.15,4.7,147,391
05/12/2023,85,64,95,61,0.27,3,163,383
05/13/2023,86,64,95,57,0,2.1,72,556
05/14/2023,91,66,97,50,0,1.6,17,590
05/15/2023,92,68,95,49,0,2.1,82,520
05/16/2023,88,69,92,54,0.17,3.8,283,494
05/17/2023,81,68,95,65,0.01,3.6,350,407
05/18/2023,82,67,94,65,0.11,2.7,116,381
05/19/2023,81,67,95,69,0,3.9,134,285
05/20/2023,83,66,95,63,0,5,324,376
05/21/2023,78,60,89,48,0,3.9,4,512
05/22/2023,85,63,91,56,0,2.8,17,481
05/23/2023,72,63,93,74,0,4.1,99,214
05/24/2023,81,63,94,49,0.02,3.7,82,470
05/25/2023,83,61,94,37,0,2.8,36,573
05/26/2023,84,61,91,42,0,2.5,97,584
05/27/2023,81,62,92,48,0,3.5,91,545
05/28/2023,84,59,92,43,0,2.9,328,594
05/29/2023,83,59,90,38,0,2.7,23,602
05/30/2023,85,60,94,45,0,1.9,51,585
05/31/2023,,,,,,,,
06/01/2023,87,65,95,47,0,2.6,105,567
06/02/2023,,,,,,,,
06/03/2023,91,64,92,37,0,2.2,10,592
06/04/2023,93,63,92,33,0,2.1,91,587
06/05/2023,90,65,93,44,1.07,3.5,146,493
06/06/2023,88,65,96,47,0,1.8,131,593
06/07/2023,89,66,96,43,0,3,318,559
06/08/2023,87,66,93,55,0,2.6,345,494
06/09/2023,87,66,94,40,0,1.8,35,521
06/10/2023,88,66,94,52,1.09,3.2,177,378
06/11/2023,88,67,95,57,0.28,5.8,242,562
06/12/2023,79,66,95,63,0,2.8,337,318
06/13/2023,82,65,95,63,0.03,2.7,221,348
06/14/2023,81,70,94,74,0.26,4.1,236,219
06/15/2023,87,68,95,64,1.23,2.9,203,400
06/16/2023,90,66,96,55,0,3.5,193,495
06/17/2023,88,66,96,56,0,2,57,609
06/18/2023,82,70,95,71,1.74,4.7,165,316
06/19/2023,86,69,95,59,0.23,5,294,528
06/20/2023,88,68,95,53,0,3.4,329,599
06/21/2023,85,69,95,64,0,3.7,6,403
06/22/2023,84,67,95,60,0.05,2.3,5,440
06/23/2023,88,64,95,47,0,2.5,333,561
06/24/2023,91,69,92,38,0,2.1,245,554
06/25/2023,95,70,97,51,1.03,5.8,245,492
06/26/2023,90,69,95,60,0,4,290,544
06/27/2023,91,72,96,54,0,2.5,322,480
06/28/2023,93,68,97,40,0,1.4,64,538
06/29/2023,96,72,95,58,0,2.1,137,475
06/30/2023,96,77,94,60,0,2.8,209,415
07/01/2023,96,77,93,56,0,4.3,238,522
07/02/2023,95,74,93,56,0.08,4.2,242,404
07/03/2023,92,72,93,62,0.48,3,174,344
07/04/2023,87,71,95,69,0.08,2.2,126,268
07/05/2023,93,72,97,61,0.09,2.5,196,448
07/06/2023,90,71,96,63,0.52,3.2,290,379
07/07/2023,89,74,96,66,0.02,2.8,287,387
07/08/2023,92,72,96,61,1.28,3.8,249,345
07/09/2023,89,71,96,70,0.46,2.5,112,332
07/10/2023,85,71,96,64,0,2.8,352,517
07/11/2023,89,70,97,60,0.58,1.5,152,398
07/12/2023,89,73,97,70,0.59,2.8,177,317
07/13/2023,88,74,96,71,0.46,2.4,136,250
07/14/2023,91,69,98,71,3.2,2.8,170,280
07/15/2023,87,73,96,63,0.01,4.2,274,348
07/16/2023,91,75,96,58,0,2.1,314,425
07/17/2023,93,72,97,52,0,1.7,311,473
07/18/2023,94,73,96,58,0,3.1,224,409
07/19/2023,93,75,92,62,0,4.5,205,460
07/20/2023,94,76,93,57,0,4,267,462
07/21/2023,93,73,95,62,0,3.2,302,340
07/22/2023,86,70,96,63,0.69,2.5,357,403
07/23/2023,86,67,96,50,0,2.5,345,524
07/24/2023,92,66,97,46,0,1.1,352,501
07/25/2023,92,69,97,52,0,1.4,204,480
07/26/2023,94,70,97,41,0,2.1,211,492
07/27/2023,96,73,96,46,0,1.5,100,448
07/28/2023,97,73,97,48,0,1.4,29,433
07/29/2023,96,74,93,47,0,2.6,296,451
07/30/2023,95,75,96,53,0,3,315,377
07/31/2023,92,71,96,50,0,1.5,37,479
08/01/2023,93,73,92,37,0,1.8,39,484
08/02/2023,94,70,96,50,0,1.7,142,449
08/03/2023,98,73,94,55,0.11,3.9,227,408
08/04/2023,88,71,96,70,0.01,2.8,135,207
08/05/2023,98,72,97,52,0,2.7,162,452
08/06/2023,94,73,95,62,0,3.3,92,322
08/07/2023,93,73,95,60,0,5.2,275,345
08/08/2023,83,70,96,71,0.52,1.9,167,207
08/09/2023,94,68,97,62,0,3,169,420
08/10/2023,89,68,95,69,0.9,3.6,159,304
08/11/2023,92,76,97,69,0.08,3.4,271,346
08/12/2023,96,76,96,60,0.21,3.4,265,399
08/13/2023,97,75,97,57,0,2.6,311,428
08/14/2023,97,76,95,53,0,3.7,278,439
08/15/2023,86,68,89,51,0,4.3,341,415
08/16/2023,85,64,95,50,0,2.2,356,437
08/17/2023,88,62,97,50,0,1.8,309,431
08/18/2023,93,65,97,48,0,1.2,31,432
08/19/2023,93,68,98,47,0,1.3,92,415
08/20/2023,93,68,97,52,0,1.7,116,407
08/21/2023,95,71,97,51,0,1.5,107,408
08/22/2023,96,73,97,51,0,1.7,26,389
08/23/2023,97,74,97,50,0,1.8,64,400
08/24/2023,99,76,96,49,0,1.4,121,393
08/25/2023,100,77,94,41,0,2,227,354
08/26/2023,101,75,95,36,0,1.9,342,376
08/27/2023,89,73,94,62,0,3.3,326,331
08/28/2023,85,73,94,71,0,3.8,348,257
08/29/2023,92,72,92,51,0,3.7,23,356
08/30/2023,90,69,86,36,0,5.4,16,546
08/31/2023,87,64,88,38,0,2.8,20,534
09/01/2023,91,67,98,55,5.21,2.9,67,352
09/02/2023,78,73,96,81,0.94,3.3,112,147
09/03/2023,87,70,96,69,0,2.2,123,359
09/04/2023,91,73,96,57,0,3,155,506
09/05/2023,91,73,95,56,0,2.4,171,396
09/06/2023,92,71,96,61,0.05,3,240,403
09/07/2023,87,68,95,50,0,2.3,337,506
09/08/2023,84,62,96,50,0,2.4,357,483
09/09/2023,87,66,93,47,0,3.3,346,475
09/10/2023,86,63,93,49,0,2.8,335,472
09/11/2023,91,64,96,44,0,1.2,62,459
09/12/2023,91,65,96,47,0,2.1,344,417
09/13/2023,85,68,93,56,0,2.9,7,345
09/14/2023,74,66,89,67,0.02,2.2,18,171
09/15/2023,88,66,94,50,0,1.7,336,377
09/16/2023,90,66,96,41,0,2.2,307,427
09/17/2023,87,58,94,37,0,2.9,319,467
09/18/2023,84,55,95,34,0,1.9,2,505
09/19/2023,85,52,97,36,0,1.3,127,505
09/20/2023,87,61,95,43,0,2.2,143,408
09/21/2023,88,62,95,42,0,1.7,114,473
09/22/2023,86,60,97,49,0,1.5,112,417
09/23/2023,90,63,96,39,0,1.1,36,476
09/24/2023,90,59,97,50,0,1.6,358,361
09/25/2023,92,67,95,49,0,1.9,45,353
09/26/2023,91,64,97,47,0,1.3,107,443
09/27/2023,89,66,96,50,0,2.7,118,452
09/28/2023,82,60,97,62,0,2.6,148,374
09/29/2023,88,58,98,40,0,1.4,119,450
09/30/2023,90,60,97,40,0,1.5,74,439
10/01/2023,90,60,96,38,0,1.5,126,386
10/02/2023,88,59,97,42,0,1.8,119,448
10/03/2023,87,56,98,36,0,2.1,123,445
10/04/2023,82,55,97,51,0,2.1,126,265
10/05/2023,81,64,95,66,0.25,2.4,119,173
10/06/2023,80,59,96,50,0.02,3.9,359,244
10/07/2023,69,47,85,35,0,5.4,349,465
10/08/2023,73,41,94,30,0,2.5,314,457
10/09/2023,81,45,96,32,0,3.2,232,446
10/10/2023,83,56,93,45,0,3.7,256,340
10/11/2023,68,60,94,70,0.14,2,103,73
10/12/2023,69,60,94,78,0,2.5,74,148
10/13/2023,70,59,97,77,0,1.9,173,129
10/14/2023,71,59,95,46,0,6.5,304,374
10/15/2023,62,48,90,63,0.01,7.2,337,178
10/16/2023,67,44,91,39,0,5.8,321,427
10/17/2023,72,41,95,43,0,1.4,309,409
10/18/2023,76,42,97,40,0,3.1,164,407
10/19/2023,80,54,83,51,0,4.8,210,275
10/20/2023,86,50,89,25,0,5.5,284,406
10/21/2023,86,45,94,29,0,2.5,263,372
10/22/2023,82,56,86,32,0,1.9,15,364
10/23/2023,84,54,87,36,0,2.7,124,323
10/24/2023,82,57,79,39,0,4.6,132,391
10/25/2023,82,56,92,46,0,4.3,131,380
10/26/2023,85,53,96,47,0,3.6,147,324
10/27/2023,85,61,92,51,0,2.7,146,300
10/28/2023,85,59,92,52,0,2.8,133,289
10/29/2023,86,57,95,47,0,2.6,189,325
10/30/2023,73,44,93,71,0.09,8.1,349,49
10/31/2023,56,37,88,32,0,6.6,350,372
11/01/2023,53,29,88,30,0,4.3,360,391
11/02/2023,62,24,94,22,0,1.8,146,386
11/03/2023,70,28,93,27,0,1.9,150,375
11/04/2023,78,36,90,27,0,1.7,258,360
11/05/2023,77,43,90,35,0,1.7,306,352
11/06/2023,78,41,95,43,0,1.7,232,227
11/07/2023,82,45,95,48,0,2.6,221,339
11/08/2023,84,52,95,42,0,4.2,186,341
11/09/2023,77,54,95,67,0,3,290,135
11/10/2023,60,53,94,76,0.12,4.1,16,64
11/11/2023,63,54,87,64,0,3.6,69,92
11/12/2023,65,54,94,70,0,2.3,77,125
11/13/2023,69,52,94,55,0,1.9,93,202
11/14/2023,67,50,90,43,0.02,2.4,128,123
11/15/2023,59,51,95,80,0.25,4.4,81,113
11/16/2023,76,55,89,61,0,3.5,118,259
11/17/2023,72,62,95,71,0,4.1,239,135
11/18/2023,68,44,94,34,0,5.3,343,326
11/19/2023,71,36,88,23,0,1.6,307,333
11/20/2023,69,43,95,60,0.96,4.8,134,179
11/21/2023,67,49,97,84,1.21,7.3,318,86
11/22/2023,56,38,95,56,0,5.7,328,270
11/23/2023,53,34,97,61,0,1.3,281,204
11/24/2023,62,44,92,47,0,2.2,310,250
11/25/2023,64,39,95,45,0,1.4,105,287
11/26/2023,58,39,96,72,0.35,4.9,323,119
11/27/2023,50,31,90,42,0,4.3,322,319
11/28/2023,53,31,93,42,0,3.2,315,310
11/29/2023,63,28,96,33,0,1.8,252,317
11/30/2023,55,33,93,44,0,5,139,133
12/01/2023,66,46,98,54,0.12,3.3,132,130
12/02/2023,65,60,98,97,0.87,2.6,355,46
12/03/2023,67,46,97,42,0,3.2,288,271
12/04/2023,61,38,97,45,0,5.2,291,305
12/05/2023,63,34,96,39,0,5,303,301
12/06/2023,54,34,94,46,0,3.4,339,301
12/07/2023,60,31,96,36,0,2.4,168,269
12/08/2023,63,36,93,74,0,4,134,82
12/09/2023,75,56,96,69,0.71,5.1,187,169
12/10/2023,56,35,94,51,0.01,7.8,331,290
12/11/2023,55,29,94,29,0,1.5,282,302
12/12/2023,60,28,95,31,0,1,130,282
12/13/2023,62,32,95,29,0,1.8,119,273
12/14/2023,66,35,92,36,0,2.3,131,273
12/15/2023,64,33,94,39,0,2.8,121,279
12/16/2023,59,40,92,62,0,2.6,153,72
12/17/2023,57,40,94,55,0,6,324,291
12/18/2023,58,33,96,30,0,5.9,319,295
12/19/2023,50,26,88,28,0,2.1,30,293
12/20/2023,56,27,90,32,0,2.1,137,266
12/21/2023,58,28,93,50,0,2,131,231
12/22/2023,65,41,92,54,0,1.9,126,222
12/23/2023,73,45,91,49,0,3.5,127,280
12/24/2023,64,49,93,67,0.35,5.9,128,94
12/25/2023,63,49,95,74,0.82,6.3,246,74
12/26/2023,56,35,94,45,0,4,316,277
12/27/2023,60,32,96,47,0,4.1,277,229
12/28/2023,46,30,89,58,0,5.3,294,171
12/29/2023,47,35,89,54,0,7,295,194
12/30/2023,52,31,95,56,0,2.7,271,263
12/31/2023,64,29,96,31,0,2.8,250,291